name,email,message,timestamp
Ranu Singh,ranu@example.com,Hi I need help with an appointment,2025-06-13 14:30
John Doe,john@example.com,Doctor not available on the app,2025-06-13 15:45
Nanya Rao,ananya.rao@gmail.com,Need to confirm appointment with Dr. Aisha,2025-06-15 10:00
Ravi Singh,ravi.singh@yahoo.com,Booking issue for Dr. Verma,2025-06-15 11:00
Kavita Nair,kavita.nair@outlook.com,App is slow when booking Dr. Sharma,2025-06-15 12:00
Mohit Jain,mohit.jain@gmail.com,Cannot reschedule appointment with Dr. Verma,2025-06-16 10:00
Sneha Patil,sneha.patil@gmail.com,Need to speak to Dr. Aisha before visit,2025-06-16 11:00
Aditya Mehra,aditya.mehra@gmail.com,Follow-up appointment with Dr. Sharma not showing,2025-06-17 10:30
Ananya Rao,ananya.rao@gmail.com,Received wrong timing for Dr. Aisha's slot,2025-06-18 11:00
Priya Shah,priya.shah@gmail.com,Can I get a receipt for yesterday's appointment?,2025-06-18 13:15
Deepak Rawat,deepak.rawat@rediffmail.com,Want to cancel appointment with Dr. Verma,2025-06-18 14:45
